Drugbank id	Weight (Da)
DB00454	247.3327
DB00455	382.883
DB00456	396.438
DB00457	383.4011
DB00458	280.4073
DB00459	326.4293
DB00460	718.7942
DB00461	228.2863
DB00462	398.291
DB00463	198.2191
DB00464	316.43
DB00465	255.2686
DB00466	602.5832
DB00467	320.3189
DB00468	324.4168
DB00469	337.37
DB00470	314.4617
DB00471	586.183
DB00472	309.3261
DB00473	261.3593
DB00474	262.3043
DB00475	299.755
DB00476	297.415
DB00477	318.864
DB00478	179.3018
DB00479	585.6025
DB00480	259.2606
DB00481	473.583
DB00482	381.372
DB00483	891.5291
DB00484	292.135
DB00485	470.326
DB00486	372.5408
DB00487	333.3574
DB00488	210.2794
DB00489	272.364
DB00490	385.5031
DB00491	207.2243
DB00492	563.672
DB00493	455.465
DB00494	305.286
DB00495	267.2413
DB00496	426.55
DB00497	315.3636
DB00498	222.2387
DB00499	276.2118
DB00500	257.2845
DB00501	252.339
DB00502	375.864
DB00503	720.944
DB00504	283.4079
DB00505	318.5166
DB00507	307.282
DB00508	352.417
DB00509	776.87
DB00511	806.9757
DB00512	1449.254
DB00513	131.1729
DB00514	271.404
DB00515	300.05
DB00516	-1
DB00517	362.345
DB00518	265.331
DB00519	430.5372
DB00520	1093.3131
DB00521	292.3734
DB00522	404.4153
DB00523	300.4351
DB00524	365.835
DB00525	307.409
DB00526	397.294
DB00527	343.4632
DB00528	611.7272
DB00529	126.0053
DB00530	393.4357
DB00531	261.086
DB00532	218.2518
DB00533	314.356
DB00534	367.2
DB00535	395.414
DB00536	59.0705
DB00537	331.3415
DB00538	661.76
DB00539	405.96
DB00540	263.3767
DB00541	824.972
DB00542	424.4895
DB00543	313.781
DB00544	130.0772
DB00545	181.2117
DB00546	351.833
DB00547	376.4617
DB00548	188.2209
DB00549	575.675
DB00550	170.232
DB00551	75.0666
DB00552	268.2691
DB00553	216.192
DB00554	331.346
DB00555	256.091
DB00556	188.0193
DB00557	374.904
DB00558	332.3098
DB00559	551.614
DB00560	585.6487
DB00561	378.5072
DB00562	431.937
DB00563	454.4393
DB00564	236.2686
DB00565	929.16
DB00566	182.21
DB00567	347.389
DB00568	368.5139
DB00569	1508.263
DB00570	810.9741
DB00571	259.3434
DB00572	289.3694
DB00573	242.2699
DB00574	231.2573
DB00575	230.094
DB00576	270.331
DB00577	324.3357
DB00578	378.4
DB00579	284.74
DB00580	314.359
DB00581	342.2965
DB00582	349.3105
DB00583	161.1989
DB00584	376.4467
DB00585	331.45
DB00586	296.149
DB00587	412.545
DB00588	500.571
DB00589	338.4466
DB00590	451.4751
DB00591	452.4882
DB00592	86.1356
DB00593	141.1677
DB00594	229.627
DB00595	460.434
DB00596	428.9
DB00597	558.68
DB00598	328.4055
DB00599	242.338
DB00600	200.2332
DB00601	337.3461
DB00602	1736.1589
DB00603	386.5244
DB00604	465.945
DB00605	356.411
DB00606	389.878
DB00607	414.475
DB00608	319.872
DB00609	166.243
DB00610	167.205
DB00611	327.4605
DB00612	325.443
DB00613	355.861
DB00614	225.1583
DB00615	847.0047
DB00616	515.6383
DB00617	157.1671
DB00618	464.853
DB00619	493.6027
DB00620	394.4339
DB00621	306.4397
DB00622	479.525
DB00623	437.522
DB00624	288.4244
DB00625	315.675
DB00626	1422.693
DB00627	123.1094
DB00628	314.723
DB00629	231.082
DB00630	249.096
DB00631	303.677
DB00632	326.6
DB00633	200.2795
DB00634	214.242
DB00635	358.4281
DB00636	242.699
DB00637	458.5703
DB00638	6179.3581
DB00639	411.776
DB00640	267.2413
DB00641	418.5662
DB00642	427.4106
DB00643	295.2927
DB00644	1182.2901
DB00645	289.4125
DB00646	926.107
DB00647	339.4712
DB00648	320.041
DB00649	224.2133
DB00650	473.446
DB00651	254.2426
DB00652	285.4238
